               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11621,            0.045742,            0.052054,                   0,                   0,                   0,                   0,             0.11924,            0.027677,             0.05943,              0.0919,              0.0009,              0.0009
                   1,             0.11226,            0.044767,            0.050977,                   0,                   0,                   0,                   0,              0.1158,             0.02789,            0.054764,            0.082881,           0.0018812,           0.0018812
                   2,             0.10637,            0.051479,            0.047843,                   0,                   0,                   0,                   0,             0.10851,            0.028718,            0.050832,            0.073843,           0.0028426,           0.0028426
                   3,            0.098423,            0.042931,            0.041509,                   0,                   0,                   0,                   0,              0.1008,            0.028988,            0.045502,            0.064784,           0.0037842,           0.0037842
                   4,            0.096832,            0.049869,            0.041983,                   0,                   0,                   0,                   0,              0.1008,            0.028988,            0.045502,            0.055706,            0.004706,            0.004706
                   5,            0.098098,            0.056406,            0.039087,                   0,                   0,                   0,                   0,             0.09162,            0.030611,            0.038683,            0.046608,           0.0056079,           0.0056079
                   6,            0.095039,            0.061327,            0.036619,                   0,                   0,                   0,                   0,             0.09162,            0.030611,            0.038683,             0.03749,           0.0064901,           0.0064901
                   7,            0.091842,            0.056572,            0.034862,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.028353,           0.0073525,           0.0073525
                   8,            0.089236,            0.049819,            0.030079,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.019195,           0.0081951,           0.0081951
                   9,            0.096659,             0.06126,            0.030267,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,            0.010018,           0.0090179,           0.0090179
                  10,            0.087729,            0.053205,            0.029456,              0.9137,                 0.5,               0.745,             0.26232,            0.085541,            0.028129,            0.026985,             0.00901,             0.00901,             0.00901
                  11,            0.086672,            0.046767,            0.024672,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,             0.00901,             0.00901,             0.00901
                  12,            0.096678,            0.055207,            0.028113,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,            0.008911,            0.008911,            0.008911
                  13,            0.093843,            0.053577,            0.025736,             0.92671,                 0.5,               0.745,             0.28097,            0.088669,            0.026227,            0.020872,            0.008812,            0.008812,            0.008812
                  14,            0.089349,            0.049003,            0.021526,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008713,            0.008713,            0.008713
                  15,            0.087691,            0.050948,            0.020812,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008614,            0.008614,            0.008614
                  16,            0.089862,            0.051959,            0.021486,             0.62175,                   1,             0.82833,             0.35012,            0.089692,            0.024568,            0.017569,            0.008515,            0.008515,            0.008515
                  17,            0.083632,            0.055805,            0.019554,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008416,            0.008416,            0.008416
                  18,            0.085887,            0.058684,            0.018299,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008317,            0.008317,            0.008317
                  19,             0.08835,            0.049623,            0.018212,             0.88393,                 0.5,             0.53667,             0.27398,            0.081459,            0.023967,            0.014987,            0.008218,            0.008218,            0.008218
                  20,            0.086273,            0.048363,            0.017332,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,            0.008119,            0.008119,            0.008119
                  21,            0.091714,             0.04252,            0.014979,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,             0.00802,             0.00802,             0.00802
                  22,            0.090938,            0.045477,            0.014743,                   1,             0.94613,               0.995,             0.33167,            0.089466,            0.019763,            0.010432,            0.007921,            0.007921,            0.007921
                  23,            0.093334,            0.039948,            0.014199,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007822,            0.007822,            0.007822
                  24,            0.094855,             0.04141,            0.012094,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007723,            0.007723,            0.007723
                  25,            0.090146,            0.038665,             0.01264,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007624,            0.007624,            0.007624
                  26,            0.092865,            0.040818,            0.012999,             0.87795,                 0.5,             0.66167,             0.30472,            0.095539,            0.016761,           0.0087544,            0.007525,            0.007525,            0.007525
                  27,            0.096139,            0.038364,            0.011316,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007426,            0.007426,            0.007426
                  28,             0.09256,             0.04561,            0.011908,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007327,            0.007327,            0.007327
                  29,            0.090599,            0.037657,            0.010629,             0.64115,                 0.5,             0.58591,             0.28886,            0.094892,            0.015745,           0.0076215,            0.007228,            0.007228,            0.007228
                  30,            0.094629,            0.043801,            0.011285,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,            0.007129,            0.007129,            0.007129
                  31,            0.091231,            0.041515,            0.010524,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,             0.00703,             0.00703,             0.00703
                  32,            0.089733,            0.034568,           0.0099797,             0.58157,                 0.5,               0.595,             0.30868,            0.086314,            0.015704,           0.0067302,            0.006931,            0.006931,            0.006931
                  33,            0.088854,            0.033986,            0.008872,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006832,            0.006832,            0.006832
                  34,            0.084387,            0.031647,           0.0085548,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006733,            0.006733,            0.006733
                  35,            0.090855,            0.034708,           0.0096243,             0.47405,                 0.5,             0.60611,             0.24291,            0.092255,            0.013663,           0.0056091,            0.006634,            0.006634,            0.006634
                  36,            0.086397,            0.036076,           0.0084675,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006535,            0.006535,            0.006535
                  37,            0.076504,            0.032858,           0.0087924,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006436,            0.006436,            0.006436
                  38,            0.077884,            0.035599,           0.0079018,             0.58752,                   1,             0.82833,             0.48022,            0.077944,            0.013297,           0.0054536,            0.006337,            0.006337,            0.006337
                  39,            0.081125,            0.034604,           0.0082714,              0.9087,                 0.5,               0.595,             0.20653,            0.097107,             0.01177,           0.0052479,            0.006238,            0.006238,            0.006238
                  40,            0.090131,            0.032971,            0.008014,              0.9087,                 0.5,               0.595,             0.20653,            0.097107,             0.01177,           0.0052479,            0.006139,            0.006139,            0.006139
                  41,            0.088053,            0.034209,           0.0075477,              0.9087,                 0.5,               0.595,             0.20653,            0.097107,             0.01177,           0.0052479,             0.00604,             0.00604,             0.00604
                  42,            0.088849,            0.036315,           0.0088821,              0.9087,                 0.5,               0.595,             0.20653,            0.097107,             0.01177,           0.0052479,            0.005941,            0.005941,            0.005941
                  43,            0.097424,            0.030045,           0.0068184,             0.63846,                   1,             0.82833,             0.29626,             0.10239,            0.010639,           0.0050864,            0.005842,            0.005842,            0.005842
                  44,             0.10036,            0.026811,           0.0074127,             0.63846,                   1,             0.82833,             0.29626,             0.10239,            0.010639,           0.0050864,            0.005743,            0.005743,            0.005743
                  45,            0.095583,            0.029534,           0.0079102,             0.63846,                   1,             0.82833,             0.29626,             0.10239,            0.010639,           0.0050864,            0.005644,            0.005644,            0.005644
                  46,            0.096091,            0.029146,           0.0071107,             0.51271,                   1,             0.82833,             0.36456,            0.098196,            0.010347,           0.0049399,            0.005545,            0.005545,            0.005545
                  47,            0.096631,            0.025034,           0.0071339,             0.51271,                   1,             0.82833,             0.36456,            0.098196,            0.010347,           0.0049399,            0.005446,            0.005446,            0.005446
                  48,            0.093468,            0.032733,            0.007416,             0.51271,                   1,             0.82833,             0.36456,            0.098196,            0.010347,           0.0049399,            0.005347,            0.005347,            0.005347
                  49,            0.098067,            0.031521,           0.0068018,                   1,             0.87512,               0.995,             0.39775,            0.082903,            0.011398,            0.004871,            0.005248,            0.005248,            0.005248
                  50,            0.089144,            0.033916,           0.0070605,                   1,             0.87512,               0.995,             0.39775,            0.082903,            0.011398,            0.004871,            0.005149,            0.005149,            0.005149
                  51,            0.092912,            0.024397,           0.0070264,                   1,             0.87512,               0.995,             0.39775,            0.082903,            0.011398,            0.004871,             0.00505,             0.00505,             0.00505
                  52,            0.090953,            0.028768,           0.0067566,             0.88236,                   1,               0.995,             0.54706,             0.08239,            0.010484,           0.0047841,            0.004951,            0.004951,            0.004951
                  53,            0.085079,            0.030617,           0.0063802,             0.88236,                   1,               0.995,             0.54706,             0.08239,            0.010484,           0.0047841,            0.004852,            0.004852,            0.004852
                  54,            0.088022,            0.031064,           0.0065177,             0.88236,                   1,               0.995,             0.54706,             0.08239,            0.010484,           0.0047841,            0.004753,            0.004753,            0.004753
                  55,            0.090232,            0.028882,           0.0059691,             0.37846,                   1,               0.695,             0.27156,            0.074788,            0.011148,            0.004835,            0.004654,            0.004654,            0.004654
                  56,            0.079773,            0.029627,           0.0065794,             0.37846,                   1,               0.695,             0.27156,            0.074788,            0.011148,            0.004835,            0.004555,            0.004555,            0.004555
                  57,            0.080139,            0.033999,           0.0064048,             0.37846,                   1,               0.695,             0.27156,            0.074788,            0.011148,            0.004835,            0.004456,            0.004456,            0.004456
                  58,            0.081626,             0.03953,           0.0069586,             0.37846,                   1,               0.695,             0.27156,            0.074788,            0.011148,            0.004835,            0.004357,            0.004357,            0.004357
                  59,            0.079622,            0.030711,            0.006772,             0.37881,                   1,              0.4475,             0.22051,            0.075004,            0.011039,           0.0047746,            0.004258,            0.004258,            0.004258
                  60,            0.086348,            0.030812,           0.0059664,             0.37881,                   1,              0.4475,             0.22051,            0.075004,            0.011039,           0.0047746,            0.004159,            0.004159,            0.004159
                  61,            0.073013,            0.026364,           0.0063131,             0.37881,                   1,              0.4475,             0.22051,            0.075004,            0.011039,           0.0047746,             0.00406,             0.00406,             0.00406
                  62,            0.073216,            0.031915,           0.0055422,             0.32697,                   1,               0.398,             0.23134,            0.072228,            0.011312,           0.0047167,            0.003961,            0.003961,            0.003961
                  63,            0.079774,            0.037091,           0.0058952,             0.32697,                   1,               0.398,             0.23134,            0.072228,            0.011312,           0.0047167,            0.003862,            0.003862,            0.003862
                  64,            0.079371,            0.031265,           0.0069171,             0.32697,                   1,               0.398,             0.23134,            0.072228,            0.011312,           0.0047167,            0.003763,            0.003763,            0.003763
                  65,            0.080708,            0.030022,           0.0063197,             0.90957,                   1,               0.995,             0.26364,            0.066453,            0.011074,            0.004269,            0.003664,            0.003664,            0.003664
                  66,             0.07097,            0.032565,           0.0052142,             0.90957,                   1,               0.995,             0.26364,            0.066453,            0.011074,            0.004269,            0.003565,            0.003565,            0.003565
                  67,            0.075257,            0.027849,           0.0047331,             0.90957,                   1,               0.995,             0.26364,            0.066453,            0.011074,            0.004269,            0.003466,            0.003466,            0.003466
                  68,             0.07324,            0.030346,           0.0046181,             0.64785,                   1,             0.66333,             0.21731,            0.066095,            0.011103,            0.003417,            0.003367,            0.003367,            0.003367
                  69,            0.075489,            0.036998,           0.0046826,             0.64785,                   1,             0.66333,             0.21731,            0.066095,            0.011103,            0.003417,            0.003268,            0.003268,            0.003268
                  70,            0.069436,            0.028816,           0.0045941,             0.64785,                   1,             0.66333,             0.21731,            0.066095,            0.011103,            0.003417,            0.003169,            0.003169,            0.003169
                  71,            0.071359,             0.03344,           0.0050274,             0.95215,                   1,               0.995,             0.26741,            0.060042,            0.010744,           0.0031756,             0.00307,             0.00307,             0.00307
                  72,             0.06206,            0.028424,           0.0044975,             0.95215,                   1,               0.995,             0.26741,            0.060042,            0.010744,           0.0031756,            0.002971,            0.002971,            0.002971
                  73,            0.069538,            0.032833,           0.0047955,             0.95215,                   1,               0.995,             0.26741,            0.060042,            0.010744,           0.0031756,            0.002872,            0.002872,            0.002872
                  74,            0.070011,            0.030325,           0.0050229,             0.95215,                   1,               0.995,             0.26741,            0.060042,            0.010744,           0.0031756,            0.002773,            0.002773,            0.002773
                  75,            0.061551,            0.026986,           0.0044448,             0.82165,                   1,               0.995,             0.37219,             0.06064,              0.0105,           0.0030097,            0.002674,            0.002674,            0.002674
                  76,            0.059901,            0.024939,           0.0035425,             0.82165,                   1,               0.995,             0.37219,             0.06064,              0.0105,           0.0030097,            0.002575,            0.002575,            0.002575
                  77,            0.066282,            0.037477,           0.0045817,             0.82165,                   1,               0.995,             0.37219,             0.06064,              0.0105,           0.0030097,            0.002476,            0.002476,            0.002476
                  78,            0.067864,            0.029347,           0.0041397,                   1,             0.95959,               0.995,             0.45546,            0.054768,            0.010467,           0.0029075,            0.002377,            0.002377,            0.002377
                  79,            0.065056,            0.031978,           0.0037598,                   1,             0.95959,               0.995,             0.45546,            0.054768,            0.010467,           0.0029075,            0.002278,            0.002278,            0.002278
                  80,            0.062336,            0.029266,           0.0044225,                   1,             0.95959,               0.995,             0.45546,            0.054768,            0.010467,           0.0029075,            0.002179,            0.002179,            0.002179
                  81,            0.061885,            0.030235,           0.0045396,             0.94699,                   1,               0.995,             0.60856,            0.049914,            0.010292,           0.0027502,             0.00208,             0.00208,             0.00208
                  82,            0.064342,            0.033624,           0.0044376,             0.94699,                   1,               0.995,             0.60856,            0.049914,            0.010292,           0.0027502,            0.001981,            0.001981,            0.001981
                  83,            0.063448,            0.029649,           0.0035911,             0.94699,                   1,               0.995,             0.60856,            0.049914,            0.010292,           0.0027502,            0.001882,            0.001882,            0.001882
                  84,            0.058478,            0.032365,           0.0039613,                   1,             0.96668,               0.995,             0.46488,            0.050834,           0.0097741,           0.0026487,            0.001783,            0.001783,            0.001783
                  85,            0.057768,            0.026747,           0.0037482,                   1,             0.96668,               0.995,             0.46488,            0.050834,           0.0097741,           0.0026487,            0.001684,            0.001684,            0.001684
                  86,            0.060446,            0.032341,           0.0043825,                   1,             0.96668,               0.995,             0.46488,            0.050834,           0.0097741,           0.0026487,            0.001585,            0.001585,            0.001585
                  87,            0.060123,            0.032675,           0.0045333,             0.95188,                   1,               0.995,               0.567,            0.045099,           0.0096152,           0.0025783,            0.001486,            0.001486,            0.001486
                  88,            0.058303,            0.030382,           0.0033645,             0.95188,                   1,               0.995,               0.567,            0.045099,           0.0096152,           0.0025783,            0.001387,            0.001387,            0.001387
                  89,            0.060202,            0.028798,           0.0035195,             0.95188,                   1,               0.995,               0.567,            0.045099,           0.0096152,           0.0025783,            0.001288,            0.001288,            0.001288
                  90,            0.056496,            0.031507,           0.0035271,             0.95188,                   1,               0.995,               0.567,            0.045099,           0.0096152,           0.0025783,            0.001189,            0.001189,            0.001189
                  91,            0.059195,            0.031767,           0.0036063,             0.61774,                   1,             0.82833,               0.497,            0.048481,           0.0093793,           0.0025423,             0.00109,             0.00109,             0.00109
                  92,            0.060945,            0.033599,           0.0038444,             0.61774,                   1,             0.82833,               0.497,            0.048481,           0.0093793,           0.0025423,            0.000991,            0.000991,            0.000991
                  93,             0.05945,            0.027965,            0.004221,             0.61774,                   1,             0.82833,               0.497,            0.048481,           0.0093793,           0.0025423,            0.000892,            0.000892,            0.000892
                  94,            0.064675,            0.029786,           0.0034669,             0.95284,                   1,               0.995,             0.54706,            0.048322,           0.0093115,           0.0025513,            0.000793,            0.000793,            0.000793
                  95,            0.062702,            0.027889,           0.0041695,             0.95284,                   1,               0.995,             0.54706,            0.048322,           0.0093115,           0.0025513,            0.000694,            0.000694,            0.000694
                  96,             0.05951,            0.026447,           0.0032793,             0.95284,                   1,               0.995,             0.54706,            0.048322,           0.0093115,           0.0025513,            0.000595,            0.000595,            0.000595
                  97,            0.063064,            0.028268,           0.0043913,             0.94584,                   1,               0.995,             0.61323,            0.044935,           0.0094446,           0.0025161,            0.000496,            0.000496,            0.000496
                  98,            0.058072,            0.031033,           0.0037968,             0.94584,                   1,               0.995,             0.61323,            0.044935,           0.0094446,           0.0025161,            0.000397,            0.000397,            0.000397
                  99,             0.05939,            0.029129,           0.0038622,             0.94584,                   1,               0.995,             0.61323,            0.044935,           0.0094446,           0.0025161,            0.000298,            0.000298,            0.000298
